target_name,target_type,source_id,source_type,title,url_or_path,language,date,source_tier,tags,notes
Boston Consulting Group,consulting_company,src_0056,web,Join us for an insightful TSOW Community webinar ... - LinkedIn,https://www.linkedin.com/posts/the-shape-of-work_join-us-for-an-insightful-tsow-community-activity-7381980497004027904-x5pl,en,,third_party,video;video_transcript,"🎉 Join us for an insightful TSOW Community webinar featuring Arshiya Singh, Director Global Compensation, Boston Consulting Group (BCG) 💡 Topic: Becoming a Total Rewards Thought Partner 🗓 ..."
Boston Consulting Group,consulting_company,src_0057,web,Total Rewards '26,https://salescomp.worldatwork.org/2026-boston/sales-comp,en,2026,third_party,video;video_transcript,Total Rewards '26 is the premier learning experience for ambitious and curious rewards professionals.
Boston Consulting Group,consulting_company,src_0058,web,Designing total rewards that work together. A three-part webinar series,https://www.eckler.ca/designing-total-rewards-that-work-together-a-three-part-webinar-series/,en,,third_party,video;video_transcript,"Employees experience compensation, group benefits, and retirement programs as one total rewards package—yet many organizations still manage these programs in silos. Join us for a three‑part webinar series exploring how a more connected approach to compensation, group benefits, retirement benefits, and employee communication can help organizations make better decisions, strengthen ..."
Boston Consulting Group,consulting_company,src_0059,video,BCG Matrix (Growth-Share Matrix) EXPLAINED | B2U | Business To You,https://www.youtube.com/watch?v=gNR49lk5dS0,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0060,video,Interview process @BCG Platinion,https://www.youtube.com/watch?v=H2sCXQusZ_M,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0061,video,《BCG頂尖人才培育術》作者木山聰╳BCG合夥人兼董事總經理徐瑞廷精彩對話,https://www.youtube.com/watch?v=V9kXO10pGJs,zh,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0062,video,【企業人才策略講堂】 EP04 專訪波士頓顧問公司董事總經理徐瑞廷：流動型人才興起！缺工時代下，企業與個人的新選擇,https://www.youtube.com/watch?v=7HEOqcLqt9g,zh,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0063,video,BCG 矩陣｜5分鐘動畫解說 簡單易懂【尼歐充電站】,https://www.youtube.com/watch?v=bJH4MtiDSm0,zh,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0064,video,麦肯锡BCG小哥哥小姐姐咨询师转型科技公司 | 【干货】不写代码怎么进tech X COPI,https://www.youtube.com/watch?v=RKsy01xzJtA,zh,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0065,video,【錄音間直擊Ep.4】怎麼聰明解決問題？BCG頂尖顧問公開心法,https://www.youtube.com/watch?v=kibBK7OZWgk,zh,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0066,video,管理學&企業概論│05策略管理│考生筆記分享│插大轉學考,https://www.youtube.com/watch?v=gSue8hpF3wg,zh,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0067,video,Boston Consulting Group - YouTube,https://www.youtube.com/TheBostonConsultingGroup,en,,third_party,video;video_transcript,Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy ...
Boston Consulting Group,consulting_company,src_0068,web,这期邀请了 #BostonBoston Consulting Group (BCG) 的管理咨询顾问，Bailu Xu，来为我们揭秘这个神奇又 ...,https://cn.linkedin.com/posts/yuzhengsun_%E5%92%A8%E8%AF%A2%E5%85%AC%E5%8F%B8%E7%99%BE%E4%B8%87%E5%B9%B4%E8%96%AA%E5%A4%A7%E6%8F%AD%E7%A7%98%E9%84%99%E8%A7%86%E9%93%BE%E8%BF%9C%E8%B6%85996%E7%9A%84%E5%B7%A5%E4%BD%9C%E5%BC%BA%E5%BA%A6-activity-6699096970654547968-Y7i6,zh,,third_party,video;video_transcript,"这期邀请了 # Boston Boston Consulting Group (BCG) 的管理咨询顾问， Bailu Xu，来为我们揭秘这个神奇又神秘的职业。视频分上下两期。 上半期我们介绍了咨询公司的本质 -- 卖能解决问题的人。 人力成本的差异，导致了咨询公司之间的""鄙视链""、分工、和风格的不同。 之后，Bailu为我们详细讲解了咨询公司 ..."
